Año;Nombre;Direccion;Barrio;Comuna;Clasificación;Declaratoria plan de ordenamiento territorial;Fecha creación;Técnica y material;Estado integridad;Estado conservación;Tipología;Elementos;Ficha de inventario;Observaciones
2020;Monumento al Ferrocarril;Calle 25N frente a la Estación;Prados del Norte;2;Monumento;Si;1/01/9999;Locomotora a Vapor Tradicional  con Pequeño Vagón Carbonero;Regular;Malo;Maquina Construida en Philadelfia (Usa);Desconocido;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-43.pdf;Fecha de creación desconocida
2020;Los Periodistas;Avenida 2N 10 – 70;Centenario;2;Monumento;Si;9/02/1989;Concreto Enchapada en Grano Lavado y Placas de Mármol Negro;Completo;Bueno;Obelisco;Base en Cemento;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-44.pdf;Sin observación
2020;Jorge Herrera Barona;Carrera 36 con Calle 5B3;San Fernando Nuevo;19;Estatua;No;25/07/2013;Bronce Fundido;Completo;Regular;Busto;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-45.pdf;Sin observación
2020;Piper Pimienta;Carrera 10 con Calle 22A;Obrero;9;Estatua;No;1/01/2014;Resina de Poliéster y Fibra de Vidrio  Alma de Acero y Apliques en Bronce;Completo;Bueno;Desconocida;Desconocido;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-46.pdf;Sin observación
2020;Petronio Álvarez;Calle 9 con Carrera 37A;Eucarístico;19;Estatua;No;13/08/2014;Arcilla y Fundición en Fibra de Vidrio y Resina de Poliéster;Completo;Bueno;Busto;Pedestal en Concreto y Placa Adosada;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-47.pdf;Sin observación
2020;Alexander Petion;Carrera 1 con Calle 10;San Pedro;3;Estatua;No;15/09/2013;Resina y Fibra de Vidrio;Completo;Bueno;Busto;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-48.pdf;Sin observación
2020;La Maceta;Carrera 9 con Calle 10;San Antonio;3;Monumento;No;1/01/9999;Resina de Poliéster  Fibra de Vidrio  Metal  Concreto  Decorada en Pintura de Poliuretano;Completo;Bueno;Desconocida;Desconocido;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-49.pdf;Fecha de creación desconocida
2020;Niche - Trompeta;Avenida 2N Calle 9;Centenario;2;Monumento;No;8/07/1905;Estructura Metálica;Completo;Bueno;Desconocida;Desconocido;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-50.pdf;Sin observación
2020;Bicicleta;Calle 27 con Carrera 33A;El Jardín;11;Monumento;No;7/07/1905;Tubería Metálica;Completo;Regular;Desconocida;Desconocido;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-51.pdf;Sin observación
2021;Benito Juárez;Glorieta de la Carrera 1 con Calle 44;Popular;4;Estatua;Si;18/07/1972;Piedra Tallada;Completo;Bueno;Escultura Pedestre de Bulto Redondo;Pedestal en Piedra Tallada;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-1.pdf;Sin observación
2021;Árbol de la Vida;Autopista Sur Calle 5 entre Carreras 73 y 75;El Gran Limonar - Cataya;17;Monumento;Si;4/05/1998;Estructura Metálica  Modelada en Fibra de Vidrio y Resina;Fragmentado;Malo;Escultura Pedestre de Bulto Redondo;Base en Cemento;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-2.pdf;Sin observación
2021;El Águila;Carrera 38D Calles 4 y 5;Santa Isabel;19;Monumento;Si;1/01/1960;Bronce Fundido A La Cera Perdida;Completo;Bueno;Escultura en Bulto Redondo;Pedestal y Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-3.pdf;Sin observación
2021;Virgen de Yanaconas;Yanaconas;Corregimiento Los Andes;56;Monumento;Si;1/01/1942;Modelada en Ferro Concreto;Completo;Bueno;Grupo Escultórico;Pedestal: Escudo de Colombia. Estructura Arquitectura con Gradería;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-4.pdf;Sin observación
2021;Homenaje Música;Avenida 6N Calle 35N;San Vicente;2;Monumento;Si;1/01/1991;Material de Hierro;Completo;Bueno;Estructura en Clave de Sol Pedestal en Cemento y Granito. Placa;Pedestal en Cemento y Granito. Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-5.pdf;Sin observación
